Stuttgart;630305
Rhein-Neckar-Kreis;548233
Ludwigsburg, Landkreis;544971
Esslingen, Landkreis;533617
Karlsruhe, Landkreis;446852
Ortenaukreis;432580
Rems-Murr-Kreis;427286
Böblingen, Landkreis;392898
Heilbronn, Landkreis;346363
Ostalbkreis;314294
Mannheim;309721
Karlsruhe;308436
Reutlingen, Landkreis;287497
Konstanz, Landkreis;286876
Ravensburg, Landkreis;285888
Breisgau-Hochschwarzwald, Landkreis;264867
Göppingen, Landkreis;258781
Rastatt, Landkreis;232091
Freiburg im Breisgau;230940
Lörrach, Landkreis;228842
Tübingen, Landkreis;228471
Bodenseekreis;217901
Schwarzwald-Baar-Kreis;212872
Biberach, Landkreis;202250
Enzkreis;199752
Alb-Donau-Kreis;198204
Schwäbisch Hall, Landkreis;197860
Zollernalbkreis;189862
Waldshut, Landkreis;171237
Emmendingen, Landkreis;166862
Calw, Landkreis;160149
Heidelberg, kreisfreie Stadt;158741
Neckar-Odenwald-Kreis;143797
Tuttlingen, Landkreis;141682
Rottweil, Landkreis;140166
Heidenheim, Landkreis;132812
Main-Tauber-Kreis;132684
Sigmaringen, Landkreis;130946
Heilbronn;126458
Ulm;126405
Pforzheim;126016
Freudenstadt, Landkreis;118364
Hohenlohekreis;112765
Baden-Baden;55449
