Stuttgart;630305
Rhein-Neckar-Kreis;548233
Ludwigsburg;544971
Esslingen;533617
Karlsruhe;446852
Ortenaukreis;432580
Rems-Murr-Kreis;427286
Böblingen;392898
Heilbronn;346363
Ostalbkreis;314294
Mannheim (Stadtkreis);309721
Karlsruhe (Stadtkreis);308436
Reutlingen;287497
Konstanz;286876
Ravensburg;285888
Breisgau-Hochschwarzwald;264867
Göppingen;258781
Rastatt;232091
Freiburg im Breisgau (Stadtkreis);230940
Lörrach;228842
Tübingen;228471
Bodenseekreis;217901
Schwarzwald-Baar-Kreis;212872
Biberach;202250
Enzkreis;199752
Alb-Donau-Kreis;198204
Schwäbisch Hall;197860
Zollernalbkreis;189862
Waldshut;171237
Emmendingen;166862
Calw;160149
Heidelberg (Stadtkreis);158741
Neckar-Odenwald-Kreis;143797
Tuttlingen;141682
Rottweil;140166
Heidenheim;132812
Main-Tauber-Kreis;132684
Sigmaringen;130946
Heilbronn (Stadtkreis);126458
Ulm (Stadtkreis);126405
Pforzheim (Stadtkreis);126016
Freudenstadt;118364
Hohenlohekreis;112765
Baden-Baden (Stadtkreis);55449
